Time,Time(ms),North China.Guyuan/ Bus 4 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Bus 5 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 35kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 35kV Side/ Positive -Sequence Voltage Magnitude
2023/09/17_02:12:02.860,860,226.751,226.737,524.178,226.737,35.8846,523.689,226.623,35.8675
2023/09/17_02:12:02.880,880,226.764,226.744,524.178,226.744,35.8857,523.72,226.63,35.8675
2023/09/17_02:12:02.900,900,226.764,226.751,524.193,226.744,35.8867,523.735,226.637,35.8686
2023/09/17_02:12:02.920,920,226.757,226.751,524.193,226.744,35.8867,523.72,226.637,35.8686
2023/09/17_02:12:02.940,940,226.744,226.737,524.178,226.737,35.8835,523.705,226.623,35.8664
2023/09/17_02:12:02.960,960,226.751,226.737,524.178,226.744,35.8835,523.72,226.623,35.8664
2023/09/17_02:12:02.980,980,226.757,226.757,524.208,226.751,35.8867,523.735,226.637,35.8686
2023/09/17_02:12:03.0,0,226.778,226.771,524.223,226.771,35.8899,523.75,226.657,35.8718
2023/09/17_02:12:03.20,20,226.791,226.771,524.223,226.771,35.8899,523.75,226.657,35.8718
2023/09/17_02:12:03.40,40,226.784,226.771,524.239,226.771,35.8899,523.75,226.657,35.8696
2023/09/17_02:12:03.60,60,226.798,226.784,524.269,226.784,35.8921,523.781,226.67,35.8718
2023/09/17_02:12:03.80,80,226.804,226.791,524.284,226.791,35.8921,523.781,226.67,35.8728
2023/09/17_02:12:03.100,100,226.798,226.784,524.284,226.791,35.891,523.781,226.677,35.8728
2023/09/17_02:12:03.120,120,226.804,226.791,524.284,226.791,35.8921,523.796,226.684,35.8739
2023/09/17_02:12:03.140,140,226.791,226.784,524.284,226.784,35.891,523.811,226.67,35.8718
2023/09/17_02:12:03.160,160,226.784,226.778,524.269,226.778,35.8899,523.796,226.663,35.8718
2023/09/17_02:12:03.180,180,226.791,226.784,524.284,226.778,35.8921,523.811,226.67,35.8728
2023/09/17_02:12:03.200,200,226.804,226.798,524.315,226.791,35.8942,523.842,226.684,35.8739
2023/09/17_02:12:03.220,220,226.825,226.818,524.361,226.811,35.8953,523.888,226.704,35.8771
2023/09/17_02:12:03.240,240,226.838,226.831,524.391,226.825,35.8974,523.918,226.717,35.8792
2023/09/17_02:12:03.260,260,226.838,226.825,524.376,226.825,35.8974,523.903,226.717,35.8782
2023/09/17_02:12:03.280,280,226.831,226.825,524.376,226.825,35.8974,523.888,226.717,35.8782
2023/09/17_02:12:03.300,300,226.845,226.831,524.376,226.831,35.8985,523.903,226.717,35.8792
2023/09/17_02:12:03.320,320,226.851,226.838,524.391,226.845,35.9006,523.918,226.731,35.8814
2023/09/17_02:12:03.340,340,226.858,226.851,524.391,226.851,35.9017,523.918,226.737,35.8824
2023/09/17_02:12:03.360,360,226.798,226.784,524.345,226.791,35.891,523.872,226.677,35.8718
2023/09/17_02:12:03.380,380,226.771,226.757,524.315,226.757,35.8889,523.827,226.65,35.8696
2023/09/17_02:12:03.400,400,226.825,226.811,524.361,226.811,35.8974,523.872,226.704,35.8782
2023/09/17_02:12:03.420,420,226.851,226.838,524.407,226.838,35.8995,523.918,226.724,35.8803
2023/09/17_02:12:03.440,440,226.858,226.845,524.407,226.845,35.9017,523.934,226.731,35.8824
2023/09/17_02:12:03.460,460,226.858,226.851,524.407,226.845,35.9027,523.934,226.731,35.8835
2023/09/17_02:12:03.480,480,226.865,226.858,524.422,226.851,35.9038,523.964,226.737,35.8846
2023/09/17_02:12:03.500,500,226.872,226.858,524.452,226.858,35.9038,523.979,226.737,35.8846
2023/09/17_02:12:03.520,520,226.858,226.851,524.437,226.851,35.9017,523.964,226.737,35.8835
2023/09/17_02:12:03.540,540,226.858,226.845,524.407,226.845,35.9017,523.934,226.724,35.8835
2023/09/17_02:12:03.560,560,226.885,226.872,524.407,226.878,35.9081,523.934,226.757,35.8889
2023/09/17_02:12:03.580,580,226.939,226.932,524.498,226.939,35.9177,524.01,226.818,35.8974
2023/09/17_02:12:03.600,600,226.979,226.972,524.559,226.972,35.923,524.071,226.858,35.9038
2023/09/17_02:12:03.620,620,226.992,226.979,524.559,226.986,35.9252,524.071,226.865,35.907
2023/09/17_02:12:03.640,640,226.986,226.972,524.544,226.979,35.9252,524.056,226.858,35.9059
2023/09/17_02:12:03.660,660,226.979,226.966,524.529,226.972,35.9241,524.04,226.858,35.9059
2023/09/17_02:12:03.680,680,226.986,226.972,524.513,226.979,35.9241,524.025,226.858,35.9059
2023/09/17_02:12:03.700,700,226.979,226.972,524.513,226.972,35.923,524.025,226.858,35.9049
2023/09/17_02:12:03.720,720,226.986,226.972,524.513,226.966,35.923,524.04,226.851,35.9049
2023/09/17_02:12:03.740,740,226.992,226.979,524.529,226.972,35.923,524.071,226.858,35.9059
2023/09/17_02:12:03.760,760,226.999,226.992,524.559,226.986,35.9252,524.101,226.878,35.9081
2023/09/17_02:12:03.780,780,227.019,227.013,524.605,227.006,35.9294,524.132,226.898,35.9113
2023/09/17_02:12:03.800,800,226.932,226.925,524.559,226.925,35.9134,524.086,226.804,35.8953
2023/09/17_02:12:03.820,820,226.892,226.878,524.498,226.878,35.9081,524.025,226.764,35.8889
2023/09/17_02:12:03.840,840,226.986,226.972,524.59,226.972,35.9252,524.101,226.865,35.9059
2023/09/17_02:12:03.860,860,227.033,227.019,524.635,227.019,35.9294,524.162,226.912,35.9123
2023/09/17_02:12:03.880,880,227.026,227.019,524.62,227.019,35.9294,524.147,226.905,35.9123
2023/09/17_02:12:03.900,900,227.013,227.013,524.59,227.013,35.9305,524.117,226.898,35.9123
2023/09/17_02:12:03.920,920,227.019,227.019,524.59,227.013,35.9316,524.117,226.898,35.9145
2023/09/17_02:12:03.940,940,227.033,227.026,524.62,227.019,35.9316,524.132,226.905,35.9134
2023/09/17_02:12:03.960,960,227.026,227.019,524.605,227.019,35.9305,524.117,226.905,35.9113
2023/09/17_02:12:03.980,980,227.006,226.999,524.544,226.992,35.9273,524.056,226.885,35.9091
2023/09/17_02:12:04.0,0,226.992,226.986,524.498,226.979,35.9262,524.025,226.865,35.907
2023/09/17_02:12:04.20,20,227.013,226.999,524.544,226.999,35.9284,524.071,226.892,35.9091
2023/09/17_02:12:04.40,40,227.026,227.019,524.59,227.019,35.9305,524.101,226.905,35.9123
2023/09/17_02:12:04.60,60,227.026,227.019,524.59,227.019,35.9305,524.117,226.905,35.9123
